School,MeasureID,Year,Category,Subgroup,N,ChronicAbsent,Value,Source,ValidationStatus,Note
Kent Hills,3.1,2024,Special Education,Special Education,56,37,66.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,English Learner,English Learner,68,12,17.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Race,White,84,13,15.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Race,Hispanic,46,13,28.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,English Learner,English Learner,22,7,31.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,Race,White,35,2,5.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,FRL,Not FRL Eligible,42,2,4.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,Special Education,Not Special Education,57,4,7.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Race,African American,65,23,35.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Race,African American,61,31,50.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Race,Two or More,15,6,40.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,FRL,FRL Eligible,50,18,36.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Race,Hispanic,27,9,33.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Gender,Male,102,63,61.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Race,Two or More,26,17,65.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,FRL,Not FRL Eligible,47,16,34.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,English Learner,English Learner,39,12,30.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Race,Two or More,30,14,46.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Race,African American,82,27,32.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,FRL,FRL Eligible,88,32,36.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Race,Hispanic,59,18,30.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Race,Hispanic,53,16,30.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,English Learner,English Learner,48,6,12.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,Gender,Female,37,3,8.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,FRL,Not FRL Eligible,37,2,5.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,Gender,Female,27,0,0.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Race,African American,49,12,24.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Race,Hispanic,49,20,40.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Special Education,Not Special Education,190,57,30.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Special Education,Special Education,29,15,51.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Race,Two or More,15,3,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Special Education,Special Education,24,9,37.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Race,White,13,4,30.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,FRL,Not FRL Eligible,56,19,33.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,English Learner,English Learner,94,31,33.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Race,African American,41,11,26.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,FRL,Not FRL Eligible,84,15,17.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,English Learner,English Learner,17,6,35.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,Gender,Male,35,3,8.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Race,Two or More,27,8,29.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Race,Two or More,10,7,70.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Race,White,13,9,69.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Race,Hispanic,14,4,28.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Special Education,Special Education,21,6,28.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,English Learner,English Learner,12,3,25.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,English Learner,English Learner,26,5,19.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Race,Two or More,34,14,41.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Special Education,Special Education,18,8,44.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Race,Two or More,11,5,45.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Race,White,10,2,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Race,White,20,6,30.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Race,Two or More,12,10,83.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Race,Hispanic,37,9,24.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,FRL,FRL Eligible,10,2,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Race,Two or More,26,7,26.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Race,Two or More,16,7,43.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Race,White,11,3,27.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Gender,Female,173,143,82.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Race,African American,267,224,83.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,FRL,Not FRL Eligible,96,68,70.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,English Learner,Not English Learner,325,265,81.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills High,3.1,2024,Special Education,Not Special Education,308,252,81.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Gender,Female,509,154,30.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Race,Hispanic,189,47,24.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,FRL,FRL Eligible,209,71,34.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,English Learner,Not English Learner,872,218,25.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Special Education,Not Special Education,893,218,24.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Gender,Male,113,81,71.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Race,Hispanic,76,38,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,FRL,FRL Eligible,148,110,74.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,English Learner,English Learner,62,30,48.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Special Education,Not Special Education,151,101,66.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Gender,Female,235,112,47.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Race,African American,212,110,51.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,FRL,Not FRL Eligible,180,56,31.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,English Learner,Not English Learner,354,164,46.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Special Education,Not Special Education,427,176,41.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Gender,Male,452,336,74.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Race,Hispanic,444,314,70.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,FRL,FRL Eligible,574,445,77.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,English Learner,Not English Learner,522,401,76.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Special Education,Not Special Education,792,571,72.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Race,African American,87,74,85.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,English Learner,Not English Learner,144,111,77.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Gender,Male,227,81,35.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,Race,Two or More,23,9,39.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
University Preparatory Academy,3.1,2024,FRL,FRL Eligible,283,137,48.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Gender,Female,133,64,48.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Race,White,126,44,34.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,FRL,Not FRL Eligible,172,69,40.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,English Learner,Not English Learner,247,116,47.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum High,3.1,2024,Special Education,Not Special Education,255,113,44.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Gender,Male,177,53,29.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Race,Hispanic,344,119,34.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,FRL,Not FRL Eligible,238,64,26.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,English Learner,Not English Learner,125,43,34.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Middle/High,3.1,2024,Special Education,Not Special Education,349,121,34.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Race,African American,302,229,75.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Gender,Male,83,22,26.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Race,African American,41,19,46.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,FRL,Not FRL Eligible,84,19,22.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,English Learner,Not English Learner,145,48,33.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Public Museum Middle,3.1,2024,Special Education,Not Special Education,154,51,33.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Gender,Female,233,118,50.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Race,Hispanic,348,165,47.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,FRL,FRL Eligible,306,174,56.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,English Learner,English Learner,334,145,43.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Special Education,Not Special Education,430,216,50.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,Gender,Female,426,307,72.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Union High,3.1,2024,FRL,Not FRL Eligible,306,200,65.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Gender,Female,198,159,80.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Race,Hispanic,200,136,68.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,FRL,FRL Eligible,248,187,75.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,English Learner,Not English Learner,278,205,73.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Innovation Central High,3.1,2024,Special Education,Not Special Education,335,243,72.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Gender,Male,185,139,75.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Race,African American,233,198,85.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,FRL,FRL Eligible,302,249,82.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,English Learner,Not English Learner,292,240,82.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ottawa Hills Middle School,3.1,2024,Special Education,Not Special Education,279,224,80.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Westwood,3.1,2024,Special Education,Special Education,55,40,72.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,English Learner,Not English Learner,143,97,67.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Middle,3.1,2024,Special Education,Special Education,47,26,55.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
City Middle/High,3.1,2024,Gender,Male,388,65,16.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
